# 意味分類表(見出し語と分類番号の対応)。部門だけを持つ検証用の表である。
# 出典は日本語 WordNet (1.1) と Princeton WordNet 3.0 である。
# 日本語 WordNet の取得元は
# https://github.com/bond-lab/wnja/releases/download/v1.1/wnjpn-ok.tab.gz である。
# Princeton WordNet 3.0 の取得元は
# https://wordnetcode.princeton.edu/3.0/WNdb-3.0.tar.gz である。
# 日本語 WordNet の利用条件は https://bond-lab.github.io/wnja/license.txt にある。
# 分類番号の小数点以下第 1 位だけが意味を持ち、残りの 3 桁は 0 で埋めてある。
# 部門は Princeton WordNet の lexname から写した。
# 版: wnja-1.1+pwn-3.0
$	1.1000	1.3000
%	1.1000
あっ制	1.1000	1.3000	1.5000
あっ化	1.1000	1.3000	1.5000
あっ搾	1.1000	1.3000
あっ旋	1.3000
あっ縮	1.1000	1.3000
あつれき	1.3000
あてこすり	1.3000
あてずっぽう	1.3000
あてど	1.3000
あて先	1.3000
あて推量	1.3000
あて擦	1.3000
あて擦り	1.3000
あて物	1.4000
あと取り	1.2000	1.3000
あと払い	1.3000
あと書き	1.3000
あと継ぎ	1.2000	1.3000
あと釜	1.2000	1.3000
あばずれ女	1.2000
あばずれ者	1.2000
あばら	1.5000
あばら骨	1.5000
あばれん坊	1.2000
あばれ者	1.2000
あば擦れ	1.2000
あば擦れ女	1.2000
あふれる元気	1.1000	1.3000
あぶく	1.5000
あぶく金	1.3000
あぶく銭	1.3000
あぶら虫	1.5000
あぶら身	1.4000	1.5000
あべこべ	1.1000
あべ槙	1.5000
あほ	1.1000	1.2000	1.3000
あほう	1.1000	1.2000	1.3000
あほんだら	1.2000
あまた	1.1000	1.3000
あまっ子	1.2000
あまり	1.1000
あま味	1.1000	1.3000
あめ	1.1000	1.3000	1.4000
あめつち	1.5000
あめ色	1.1000	1.3000
あやつり人形	1.4000
あやふやさ	1.1000	1.3000
あやめ	1.5000
あや取り	1.3000
あらくれ者	1.2000
あらすじ	1.1000	1.2000	1.3000	1.5000
あらぬ事	1.1000	1.3000
あらまし	1.3000
あら探し	1.3000
あら探し屋	1.2000
ありうべきこと	1.1000	1.5000
ありうる事	1.3000
ありか	1.1000	1.2000	1.5000
ありがた味	1.1000	1.3000
ありがとう	1.3000
ありさま	1.1000	1.3000	1.5000
ありの実	1.4000
あり方	1.1000
ある	1.1000	1.5000
ある子供	1.2000
ある金額分の量	1.1000
あれ	1.3000	1.5000
あれやこれや	1.4000
あわただしさ	1.3000
あわて急ぐこと	1.1000	1.3000
あんぐりする	1.3000
あんぽんたん	1.2000
あんよ	1.3000	1.5000
いいカモ	1.2000
いい人	1.2000
いい鳥	1.2000
いい鴨	1.2000
いか	1.4000
いかさま	1.3000	1.4000
いかさま師	1.2000
いかのぼり	1.4000
いき込み	1.3000
いけず	1.2000
いけにえ	1.3000
いさかい	1.3000
いさくさ	1.1000	1.3000	1.5000
いささ川	1.5000
いさめること	1.3000
いさり舟	1.4000
いさり船	1.4000
いざこざ	1.1000	1.3000	1.5000
いす	1.1000	1.2000	1.4000	1.5000
いたし方	1.3000
いたずら	1.3000
いたずらっ子	1.2000
いちじく	1.4000
いちびり	1.2000
いちゃつき	1.3000
いっぱい	1.1000	1.3000
いつくしみ	1.3000
いとこ	1.2000
いとまごい	1.3000
いとま乞い	1.3000
いないいないばあ	1.3000
いなか	1.1000	1.2000	1.5000
いなさ	1.5000
いぬ	1.2000
いぬがや科	1.5000
いぬ科	1.5000
いのもとそう科	1.5000
いの一番	1.1000
いばら	1.5000
いばり	1.4000	1.5000
いびき	1.1000	1.2000	1.3000
いびきをかくこと	1.3000
いぼ	1.1000
いぼ目	1.1000
いみな	1.3000
いやさか	1.3000
いやな人	1.2000
いらか段	1.4000
いらだたしさ	1.3000
いらだち	1.1000	1.3000	1.5000
いら立ち	1.1000	1.5000
いる	1.1000	1.5000
いんちき	1.3000	1.4000
いんちきさ	1.1000	1.3000
いんちき医療	1.3000
いん石	1.5000
ういきょう	1.4000
うかがい	1.3000
うがい薬	1.4000	1.5000
うさぎ小屋	1.4000
うさん臭さ	1.1000	1.3000
うしろ側	1.1000	1.2000	1.5000
うしろ帯	1.2000
うしろ押し	1.3000
うしろ紐	1.1000
うしろ肢	1.5000
うしろ脚	1.5000
うしろ足	1.5000
うすのろ	1.2000
うすばか	1.2000
うす紙	1.4000	1.5000
うす茶	1.1000	1.3000
うす茶色	1.1000	1.3000
うずくまること	1.3000
うそ	1.1000	1.3000	1.5000
うたた寝	1.3000
うち切り	1.3000
うち消し	1.3000
うっかりミス	1.3000
うっそり	1.2000
うっとりさせる美しさ	1.1000	1.3000
うっ気	1.3000
うっ血	1.1000	1.5000
うっ血性心不全	1.1000	1.5000
うつり変わり	1.1000	1.3000
うつ病	1.1000	1.5000
うどん粉	1.4000
うなぎ	1.4000
うなり声	1.1000	1.3000
うぬぼれ	1.3000
うぬ惚	1.3000
うぬ惚れ	1.3000
うねり	1.1000	1.3000
うば車	1.4000
うぶ	1.3000
うめき声	1.3000
うらやましさ	1.3000
うら寂しさ	1.3000
うら淋しさ	1.3000
うるう年	1.1000
うるさ型	1.2000
うれしいこと	1.3000
うれしさ	1.3000
うろ	1.1000	1.5000
うろくず	1.4000	1.5000
うろこ雲	1.5000
うろたえ	1.3000
うわさ話	1.3000
うわの空	1.3000
うわべ	1.1000	1.2000	1.3000	1.5000
うわ言	1.3000
うんこ	1.3000	1.4000	1.5000
うんち	1.4000	1.5000
う蝕	1.3000	1.5000
えい	1.1000
えがらっぽさ	1.1000	1.3000
えげつなさ	1.3000
えこひいき	1.3000
えじき	1.2000
えの具	1.4000
えへん	1.3000
えり巻	1.4000
えり巻き	1.4000
えり抜き	1.3000
おあし	1.3000
おいど	1.5000
おかげ	1.3000
おかちめんこ	1.2000
おかみ	1.2000
おかみさん	1.2000
おがくず	1.4000	1.5000
おくび	1.3000
おくり物	1.3000
おく病	1.1000	1.3000
おこり	1.1000	1.5000
おごり	1.3000
おさらい	1.3000
おさらば	1.3000
おしっこ	1.3000	1.4000	1.5000
おしまい	1.1000	1.3000	1.5000
おしめ	1.4000
おしゃぶり	1.4000
おしゃべり	1.3000
おじ	1.2000
おじけ	1.3000
おじさん	1.2000
おじ気	1.3000
おたふく風邪	1.1000	1.5000
おたふく飴	1.4000
おたんこなす	1.2000
おたんちん	1.2000
おっかなさ	1.3000
おっちょこちょい	1.2000
おっぱい	1.4000	1.5000
おっ母	1.2000
おっ母さん	1.2000
おつけ	1.4000
おつむ	1.3000
おでき	1.1000	1.5000
おでこ	1.5000
おとぎの国	1.3000
おとぎ話	1.3000
おとっつあん	1.2000
おとな	1.2000
おとり捜査	1.3000
おどけ	1.1000	1.3000
おどり子	1.2000
おなか	1.5000
おなご	1.2000
おなら	1.3000
おののき	1.3000
おはこ	1.1000	1.3000
おばあちゃん	1.2000
おばけ	1.3000
おびただしさ	1.1000	1.3000
おべっか使い	1.2000
おべべ	1.4000
おぼえ書き	1.3000
おぼこ	1.2000
おぼろ雲	1.5000
おまじない	1.4000
おまる	1.4000
おまんこ	1.5000
おまんま	1.4000
おみなえし科	1.5000
おみ足	1.5000
おむつ	1.4000
おめこ	1.3000
おめでた	1.3000
おめでたさ	1.1000	1.3000
おもしろい経験	1.3000
おもちゃ	1.4000
おやじ様	1.2000
おやつ	1.4000
おや指	1.5000
おり	1.5000
おり屈み	1.1000	1.3000
おろし金	1.4000
おんどり	1.5000
おんぼろ車	1.4000
おんも	1.1000	1.2000	1.5000
お三	1.2000
お上	1.2000
お上さん	1.2000
お下がり	1.4000
お世辞	1.3000
お中	1.5000
お人よし	1.2000
お人好し	1.2000
お人形さん	1.4000
お仕置き	1.3000
